label,pred,x,y
3,4,0.003809047,-0.007357083
7,7,-0.0033366177,8.391372e-05
10,3,0.0042017177,0.009010499
7,6,-0.0074384594,-0.021882864
1,3,0.015444586,-0.01037854
4,3,0.0078730425,-0.0037820912
7,7,-0.00706427,-0.017424384
1,2,0.020746171,0.0038466416
4,3,0.0050475374,0.0048804777
2,6,-0.0012798004,0.004272703
2,4,0.0020521893,0.0010710746
8,8,-0.0083815325,-0.005532078
5,4,0.0018142827,-0.011674924
3,7,-0.0046108793,-0.0017564873
4,5,-0.00093314296,-0.009566179
10,9,-0.016958892,0.00034438682
2,3,0.0089259045,-0.010321397
6,8,-0.013826612,-0.0122103235
8,8,-0.013639172,-0.008300279
6,4,0.004414333,-0.013803131
5,6,-0.0034689528,-0.011277779
7,7,-0.006369729,-0.009581746
5,4,0.0034236966,-0.0056761266
3,5,-0.0001358578,-0.01594662
10,8,-0.005509277,0.00071593554
7,7,-0.008071647,-0.011507175
3,3,0.0068959733,0.00017094932
8,4,0.0023238522,0.002869442
3,3,0.005469664,0.00039245537
3,7,-0.0039419355,-0.003779361
8,9,-0.017080639,0.01065364
7,4,0.0036880632,-0.003664667
5,7,-0.007230306,-0.018773027
4,3,0.005983257,-0.003274847
5,5,-0.00022159422,-0.018053358
9,9,-0.01219333,0.009579188
7,4,0.0027186158,-0.008570903
3,7,-0.004175895,-0.0032910006
2,4,0.010978295,-0.020689623
6,5,8.630797e-05,-0.0062214425
2,3,0.004017605,0.0014368861
3,5,0.00028577197,-0.010324333
5,6,-0.002991012,-0.0054260087
8,6,-0.00338611,-0.0065900856
8,5,0.00053887983,-0.006222719
7,4,0.0048979935,-0.009118816
7,7,-0.0042319694,-0.008248949
9,9,-0.01069804,0.0035725958
3,3,0.00792208,-0.0041979766
5,3,0.015061181,-0.0056485105
3,3,0.02071402,-0.009751602
4,5,-0.0009770732,-0.005891179
4,7,-0.008988236,-0.011955974
1,2,0.0075700697,0.0054036835
4,5,0.00366384,-0.020503048
6,3,0.0058181765,-0.0042228997
2,3,0.006502188,-0.006029184
7,3,0.007091786,-0.00080901827
8,8,-0.008032395,0.0044171116
3,2,0.014964299,-0.0051925103
6,7,-0.0033614107,-0.0013648266
9,8,-0.008797212,-0.0013746343
1,2,0.01414452,0.0016218832
6,5,-0.0007654721,-0.009049731
9,3,0.010103563,-0.0050671175
9,9,-0.009088447,0.005113219
