word,rating
g,3
arnold,3
shallow,3
12,3
angry,3
presented,3
mistake,3
walking,3
party,3
anti,3
confused,3
sitting,3
guns,3
produced,3
opportunity,3
shouldn,3
pass,3
dance,3
toy,3
unrealistic,3
wondering,3
80,3
robot,3
stuck,3
freeman,3
ahead,3
contains,3
garbage,1
loves,3
dogs,3
confusing,3
40,3
shooting,3
americans,3
fat,3
hasn,3
bear,3
sexual,3
chinese,3
hopes,3
chan,3
drive,3
twice,3
buddy,3
bottom,3
cat,3
excuse,2
humanity,3
theatre,3
carry,3
pathetic,2
numbers,3
ed,3
bullock,3
random,3
followed,3
trust,3
south,3
awkward,3
onto,3
cops,3
seconds,3
asked,3
impression,3
product,3
acts,3
equally,3
hopkins,3
substance,3
contrived,3
fail,3
dies,3
taste,3
answer,3
snow,3
painful,2
folks,3
voices,3
frankly,3
kills,3
forever,3
merely,3
count,3
nonsense,2
turning,3
bomb,3
blame,3
memory,3
allowed,3
realized,3
walked,2
laughable,2
ruined,3
direct,3
failure,3
forgettable,3
explained,3
cover,3
normally,3
rambo,3
wedding,3
content,3
weapon,3
thats,3
soldier,3
allow,3
logic,3
sick,3
below,3
hype,3
fault,3
security,3
camp,3
cares,3
saved,3
teenage,3
absolute,3
constant,3
ugly,3
sake,3
cash,3
mouth,3
unfunny,2
supposedly,3
sat,3
sleep,3
lazy,3
clichéd,3
phone,3
gay,3
trash,2
allen,3
grace,3
college,3
suit,3
zero,3
dollars,3
heads,3
stephen,3
irritating,2
whatsoever,3
explanation,3
pain,3
empty,3
chick,3
blow,3
values,3
generic,3
desperate,3
boat,3
dying,3
hadn,3
field,3
rachel,3
broken,3
forgotten,3
disbelief,3
mindless,3
absurd,3
club,3
anybody,3
grade,3
parody,3
feet,3
taylor,3
copy,3
blah,3
sell,3
german,3
industry,3
store,3
gotten,3
rip,3
terribly,3
learned,3
hotel,3
keaton,3
teacher,3
skip,3
describe,3
lewis,3
disturbing,3
paper,3
sucked,3
destroyed,3
originality,3
